question_id,question,reference,dataset_name
single_nq_dev_3230,who plays gilbert blythe in anne of green gables,Jonathan Crombie,nq
single_nq_dev_4651,who plays the dad in the quiet place,"John Krasinski ,",nq
single_nq_dev_4912,when do primary schools break up for easter,March or April,nq
single_nq_dev_2463,how many seconds do you have to throw a grenade,4 and 5 seconds,nq
single_nq_dev_3743,when does the new season of handmaids tale come out,2018,nq
single_nq_dev_6243,groups of customers within a large market who share common characteristics,target market,nq
single_nq_dev_388,where did the southern song have their capital,Lin'an,nq
single_nq_dev_1378,who wrote the song fairytale of new york,Jem Finer;Shane MacGowan,nq
single_nq_dev_5630,what is the meaning of ac dc current,Alternating current;direct current,nq
single_nq_dev_5382,the secretary of state for foreign and commonwealth affairs of the united kingdom,Boris Johnson,nq
single_nq_dev_2150,who wrote the song bang bang you shot me down,Sonny Bono,nq
single_nq_dev_5264,what does it mean when your drooling a lot,Hypersalivation,nq
single_nq_dev_1118,who is prince charming in once upon a time,David Nolan,nq
single_nq_dev_6016,what is apollo the god of in roman mythology,poetry;plague;the sun and light;truth and prophecy;healing;music,nq
single_nq_dev_3526,who holds the record for most jeopardy wins,Brad Rutter,nq
single_nq_dev_3318,where are the ping pong shows in phuket,Bangla Road,nq
single_nq_dev_5769,what position did deion sanders play in baseball,outfielder,nq
single_nq_dev_1872,who had the best record in mlb 2016,The Cubs,nq
single_nq_dev_3359,who signed the order to build the transcontinental railroad,Lincoln,nq
single_nq_dev_6295,when was the concept of gross domestic product ( gdp ) born,between 1652 and 1674,nq
single_nq_dev_1959,where is castle on the hill based on,Framlingham Castle,nq
single_nq_dev_5332,when did the ipod touch 3 come out,"June 17 , 2009",nq
single_nq_dev_2628,which artist is representative of the detroit blues style,John Lee Hooker,nq
single_nq_dev_4386,who is the beluga whale in finding dory,Ty Burrell,nq
single_nq_dev_5389,araiso private high school student council executive committee manga,Wild Adapter,nq
single_nq_dev_5138,who composed the music for beauty and the beast,Alan Menken,nq
single_nq_dev_1303,what type of writing is most similar to an autobiography a. poetry b. short story c. novel d. memoir,memoir,nq
single_nq_dev_3989,when did the first apple phone come out,"June 29 , 2007",nq
single_nq_dev_3384,where was the titanic headed before it sank,New York,nq
single_nq_dev_210,when did the albany plan of union take place,1754,nq
single_nq_dev_6296,who sings sometimes i get a good feeling,Flo Rida,nq
single_nq_dev_4035,who wrote if you love someone set them free,Sting,nq
single_nq_dev_2573,what cities are close to sugar land texas,Houston,nq
single_nq_dev_1935,how much did it cost to make 12 strong,$35 million,nq
single_nq_dev_2050,who was rhett butler in gone with the wind,Clark Gable,nq
single_nq_dev_1096,what part of the chicken is general tso chicken,thigh meat,nq
single_nq_dev_5636,who did dwayne wade play for last year,Chicago Bulls;Miami Heat,nq
single_nq_dev_5598,who 's the only team that beat the eagles,Dallas Cowboys;Seattle Seahawks;Kansas City Chiefs,nq
single_nq_dev_1427,when did the phillies win the world series,1980;2008,nq
single_nq_dev_3699,what is the capital of the nation that is completely surrounded by south africa,Maseru,nq
single_nq_dev_2089,phenothiazines such as chlorpromazine were the first type of,antipsychotic,nq
single_nq_dev_3517,who wrote have i told you that i love you,Scotty Wiseman,nq
single_nq_dev_1066,when did the euro became the european currency,1 January 1999,nq
single_nq_dev_74,when was the first time the word catholic was used,in the early 2nd century,nq
single_nq_dev_3728,who fought in the sri lankan civil war,the Sri Lankan military,nq
single_nq_dev_3643,who has the most national championships college football,Princeton,nq
single_nq_dev_5375,what type of literature from what period of history constitutes our earliest source of greek myths,Ancient Greek literature,nq
single_nq_dev_634,who sang you got a friend in me from toy story,Randy Newman,nq
single_nq_dev_1633,when was the first laptop invented and by whom,July 1980;Yukio Yokozawa,nq
single_nq_dev_6182,how old do you have to be for a tatoo,18 years or older,nq
single_nq_dev_35,who wins the 2017 australian open men 's single title,Roger Federer,nq
single_nq_dev_1666,who sings make you feel my love in hope floats,Garth Brooks,nq
single_nq_dev_2061,when does the last star wars come out,2019,nq
single_nq_dev_1429,who wrote the poem mary had a little lamb,Sarah Josepha Hale,nq
single_nq_dev_47,p diddy nicki minaj hello good morning lyrics,Official Remix,nq
single_nq_dev_4465,who sang lean on me in the 90s,2 - 4 Family,nq
single_nq_dev_2437,who sang the song he stopped loving her today,He Stopped Loving Her Today,nq
single_nq_dev_2527,who was you make loving fun written about,Curry Grant,nq
single_nq_dev_2709,during which event of hemostasis do clotting factors,The third and last step,nq
single_nq_dev_4587,when did guardians of the galaxy vol 2 come out,"May 5 , 2017",nq
single_nq_dev_318,when was the clear and present danger test replaced,May 1950,nq
single_nq_dev_6163,what is the style of st paul 's cathedral in london,English Baroque,nq
single_nq_dev_3368,where was the first cricket match played in india,Bombay;Madras;Calcutta,nq
single_nq_dev_3967,who has final authority over the federal budget,Office of Management and Budget,nq
single_nq_dev_88,who is the only kaurava who survived the kurukshetra war,Yuyutsu,nq
single_nq_dev_6231,when is opening day of major league baseball,"Thursday , March 29",nq
single_nq_dev_2497,how many stars are on the chicago flag,four,nq
single_nq_dev_1718,who sang the original lights went out in georgia,Vicki Lawrence,nq
single_nq_dev_3387,who was president when the civil war started,Abraham Lincoln,nq
single_nq_dev_5830,when is game of thrones season 7 episode 7 releasing,"July 16 , 2017",nq
single_nq_dev_5130,what two bodies of water does the isthmus of panama separate,Caribbean Sea,nq
single_nq_dev_6393,when did guardians of the galaxy comic book come out,Jan. 1969,nq
single_nq_dev_2007,when did season 12 of grey 's anatomy start,"September 24 , 2015",nq
single_nq_dev_5707,who did ben affleck play in dazed and confused,Fred O'Bannion,nq
single_nq_dev_732,what is the latest version of apple mail,OS X El Capitan,nq
single_nq_dev_5034,who played the roll of elizabeth swann in pirates of the caribbean,Keira Knightley,nq
single_nq_dev_5679,who wrote the score for blade runner 2049,Hans Zimmer;Benjamin Wallfisch,nq
single_nq_dev_4340,who plays tom builder in pillars of the earth,Rufus Frederik Sewell,nq
single_nq_dev_4834,who sang the country version of black velvet,Robin Lee,nq
single_nq_dev_5572,who plays belle in the original beauty and the beast,Paige O'Hara,nq
single_nq_dev_2749,who starred in the 1988 christmas movie scrooged,Carol Kane;Michael J. Pollard;Bill Murray;Robert Mitchum;John Forsythe;Bobcat Goldthwait;Alfre Woodard;Karen Allen,nq
single_nq_dev_1445,what season of greys anatomy was the plane crash,the eighth season,nq
single_nq_dev_1434,who did doc hudson 's voice in cars,Paul Newman,nq
single_nq_dev_842,what mountain range has the highest mountains in all of europe,The Alps,nq
single_nq_dev_4579,when is season 4 of blackish coming out,"October 3 , 2017",nq
single_nq_dev_6372,where did the expression let them eat cake come from,Jean - Jacques Rousseau,nq
single_nq_dev_1282,where does 10 things i hate about you take place,in the Seattle area,nq
single_nq_dev_3850,which arc is a line of volcanoes on an oceanic plate,continental volcanic arcs,nq
single_nq_dev_5673,who did alshon jeffery play for before the eagles,Chicago Bears,nq
single_nq_dev_5384,who plays stuart bloom on big bang theory,Kevin Sussman,nq
single_nq_dev_3917,who plays larrys wife on curb your enthusiasm,Cheryl Ruth Hines,nq
single_nq_dev_3827,where was sex and the city 2 filmed,Sidi Kaouki;New York City;Morocco;Amanjena,nq
single_nq_dev_4526,where did the third servile war take place,Italia,nq
single_nq_dev_2839,who coined the phrase manifest destiny and what does it mean,Newspaper editor John O'Sullivan,nq
single_nq_dev_4224,who won the big boss telugu season 2,Kaushal Manda,nq
single_nq_dev_658,what kind of beans are in an english breakfast,baked beans,nq
single_nq_dev_6418,when was germany allowed into the league of nations,1926,nq
single_nq_dev_3558,who plays kitty softpaws in puss in boots,Salma Hayek,nq
single_nq_dev_5438,when was do n 't change by inxs released,October 1982,nq
single_nq_dev_4945,when was the last juvenile executed in the us,"April 10 , 1959",nq
single_nq_dev_5284,who does ann from parks and rec marry,Chris Traeger,nq
single_nq_dev_2176,the most abundant mineral group in earth 's crust is,silicate minerals,nq
single_nq_dev_5065,when does season 2 of legion come out,"on April 2 , 2018",nq
single_nq_dev_2247,who has the most home runs in the home run derby,Todd Frazier,nq
single_nq_dev_5509,when is the world population expected to reach 8 billion,2024,nq
single_nq_dev_446,who sings the theme song for the vikings,Fever Ray,nq
single_nq_dev_4297,who are cain and abel in the bible,sons of Adam and Eve,nq
single_nq_dev_4574,who is the founder of ramoji film city,Ramoji Rao,nq
single_nq_dev_5900,who wrote i want it all by queen,Brian May,nq
single_nq_dev_1647,when did south africa declare war on germany,September 1939,nq
single_nq_dev_1428,when did daylight saving first start in australia,1968,nq
single_nq_dev_6392,who did the navajo code talkers work for,the Marines,nq
single_nq_dev_4058,the habanera and the toreador song are two famous arias from which opera,Carmen,nq
single_nq_dev_3188,ship that sank off cape bowling green in 1911,SS Yongala,nq
single_nq_dev_1825,when was the first guardians of the galaxy movie made,2014,nq
single_nq_dev_868,who wrote what the hell did i say,country music artist Dierks Bentley,nq
single_nq_dev_1400,who is fifa and how many member countries do they have,Fédération Internationale de Football Association;211,nq
single_nq_dev_3845,what does it mean if the wronskian is zero,the functions are linearly dependent,nq
single_nq_dev_5256,where was disney 's beauty and the beast filmed,Shepperton Studios,nq
single_nq_dev_4476,when did alexander graham bell invented the photophone,"February 19 , 1880",nq
single_nq_dev_3538,where is the world cup being held this year,Luzhniki Stadium in Moscow,nq
single_nq_dev_797,who was the school shooter in sandy hook,Adam Lanza,nq
single_nq_dev_348,what are the two most successful teams in spains soccer clubs,Real Madrid;Barcelona,nq
single_nq_dev_6312,how can we classified the geographical location of liberia,Sub-Saharan nation in West Africa,nq
single_nq_dev_1862,what is the role of a makeup artist,applying makeup and prosthetics,nq
single_nq_dev_1447,what is the corn palace in mitchell south dakota,a multi-purpose arena / facility,nq
single_nq_dev_59,who played mason on wizards of waverly place,Sulkin,nq
single_nq_dev_1148,who won the first academy award for best picture,Wings,nq
single_nq_dev_4758,what is the term for a chemical bond characterized by sharing three pairs of electrons,triple bonds,nq
single_nq_dev_3242,who wrote the book tale of two cities,Charles Dickens,nq
single_nq_dev_3814,who won best of the super juniors 2017,Kushida,nq
single_nq_dev_6185,who sang ava gardner 's part in showboat,Annette Warren,nq
single_nq_dev_1141,who must approve the budget created by washington dc city council,Congress,nq
single_nq_dev_80,who controlled blue cross when it was formed,1929,nq
single_nq_dev_4972,who has played with the most mlb teams,Octavio Eduardo Dotel Diaz,nq
single_nq_dev_2783,who is the most payed player in the nba,Stephen Curry,nq
single_nq_dev_1005,how many teams are in the mlb national league,15,nq
single_nq_dev_5019,what do the colored rings on canon lenses mean,to identify Canon 's lenses,nq
single_nq_dev_3296,where was the virtually unprotected area where german armies avoided the maginot line,the Ardennes forest,nq
single_nq_dev_5644,how many movies of ip man are there,three,nq
single_nq_dev_4607,the body of the fungi that consists of a network of microscopic filaments is called the,Mycelium,nq
single_nq_dev_6360,who has more power in turkey president or prime minister,Prime Minister,nq
single_nq_dev_6193,who advocated for supervising probationers and revoking probation if the accused returned to crime,John Augustus,nq
single_nq_dev_2476,where did they film places in the heart,"Waxahachie , Texas",nq
single_nq_dev_2754,what is mary warrens role in the crucible,one of the accusers;a maid for John Proctor,nq
single_nq_dev_3482,when did sacramento became the capital of california,1879,nq
single_nq_dev_2514,where did the saying man best friend come from,Frederick the Great of Prussia,nq
single_nq_dev_2653,who are the kane county cougars affiliated with,Arizona Diamondbacks,nq
single_nq_dev_2585,when did the treaty of guadalupe hidalgo happen,"February 2 , 1848",nq
single_nq_dev_3052,who played harmonica on the wizard black sabbath,Ozzy Osbourne,nq
single_nq_dev_3007,when is the last time the astros been to the world series,2017,nq
single_nq_dev_5490,who plays eli roosevelt in sons of anarchy,Rockmond Dunbar,nq
single_nq_dev_1961,who was the song think of laura written about,Luke and Laura,nq
single_nq_dev_1439,what is the river that runs through nashville tn,Cumberland River,nq
single_nq_dev_894,who is the guy who voiced disney channel,Cameron;`` Buzz '' Brainard,nq
single_nq_dev_3267,when was the first atm installed in uk,27 June 1967,nq
single_nq_dev_208,who did sweeney todd meet on the ship back to london,Anthony Hope,nq
single_nq_dev_1942,where do dark elves live in norse mythology,Svartalfheim,nq
single_nq_dev_4946,the ideology known as the open fields doctrine was first enunciated in the case of,Hester v. United States,nq
single_nq_dev_1230,where do cardiac impulses originate in the heart,sinoatrial node,nq
single_nq_dev_1383,who led the great sioux uprising in 1862,Shakopee;Big Eagle;Wabasha;Little Crow,nq
single_nq_dev_2429,when did the 5th circuit became the 11th circuit,"October 1 , 1981",nq
single_nq_dev_2288,who sang bring it on home to me first,Sam Cooke,nq
single_nq_dev_1766,when was the first captain america comic released,March 1941,nq
single_nq_dev_1498,where was ' top of the lake ' filmed,"Queenstown , New Zealand;Sydney , Australia",nq
single_nq_dev_1865,what year did the first ipod touch come out,2007,nq
single_nq_dev_352,who dies in season 2 of orange is the new black,Vee,nq
single_nq_dev_3926,who plays tina 's voice in bob 's burgers,Daniel Alexander Mintz,nq
single_nq_dev_806,where does the story of aladdin take place,China,nq
single_nq_dev_5390,when did the states ratify the articles of confederation,"March 1 , 1781",nq
single_nq_dev_6484,th part of medicare that is the hospital insurance portion is,Medicare Part A,nq
single_nq_dev_2531,who was the voice of erica in hotel transylvania 3,Kathryn Hahn,nq
single_nq_dev_1875,what language is eric speaking in true blood,Old Norse,nq
single_nq_dev_5175,who was the maid on the brady bunch,Ann Bradford Davis,nq
single_nq_dev_2879,where did the hemlock wooly adelgid come from,Japan,nq
single_nq_dev_6147,who provides the voice of the title character in the boss baby,Alec Baldwin,nq
single_nq_dev_2182,when does the dispicable me 3 come out,"June 14 , 2017",nq
single_nq_dev_1228,who has won the us open golf 2018 title in new york,Brooks Koepka,nq
single_nq_dev_5981,who did julie marry on one day at a time,flight attendant Max Horvath,nq
single_nq_dev_339,how many times france take the world cup,France,nq
single_nq_dev_2365,who was crucified on an x shaped cross,Andrew,nq
single_nq_dev_3180,what states honor washington state concealed weapons permit,Kansas;Oklahoma;North Dakota;Louisiana;Michigan;Idaho;Ohio;Utah;North Carolina,nq
single_nq_dev_507,who played duke in secret life of pets,Eric Stonestreet,nq
single_nq_dev_4537,when did the challenger space shuttle blow up,"On January 28 , 1986",nq
single_nq_dev_2037,where are proteins digested in the digestive system,in the stomach,nq
single_nq_dev_4908,who won today in the fifa world cup 2018,France,nq
single_nq_dev_2864,who is the captain of new zealand cricket team 2015,Kane Williamson,nq
single_nq_dev_238,who was the winner of dancing with the stars season 21,Derek Hough;Bindi Irwin,nq
single_nq_dev_5171,who sings how far i 'll go from moana,Auliʻi Cravalho,nq
single_nq_dev_4010,michael douglas morgan freeman robert de niro movie,Last Vegas,nq
single_nq_dev_4969,who wrote tim mcgraw song humble and kind,Lori McKenna,nq
single_nq_dev_4114,when was the last episode of er aired,"April 2 , 2009",nq
single_nq_dev_4132,how many episodes are there in season 2 of the crown,10 one - hour episodes,nq
single_nq_dev_5455,who painted the picture of dogs playing poker,Cassius Marcellus Coolidge,nq
single_nq_dev_1090,what is the distance of a point from y axis called,the ordinate,nq
single_nq_dev_993,when is puss in boots season 6 coming out,"January 26 , 2018",nq
single_nq_dev_569,when did mozart compose his first piece of music,age of five,nq
single_nq_dev_3260,who helped resolve the dispute between virginia and maryland,William R. Day,nq
single_nq_dev_4180,when did the us navy became the biggest,the 1920s,nq
single_nq_dev_4719,where was the setting for friday the 13th,Camp Crystal Lake,nq
single_nq_dev_2909,what are three places that mainland greece imported ( brought in ) goods from,Sicily;Egypt;Arabia,nq
single_nq_dev_2568,who 's won the most national championships in college football,Princeton,nq
single_nq_dev_3534,who played the devil in storm of the century,Colm Feore,nq
single_nq_dev_4500,who was the scarecrow in wizard of oz,Raymond Wallace Bolger,nq
single_nq_dev_1783,who plays hanna on the haves and the have nots,Crystal R. Fox,nq
single_nq_dev_2675,who sang with carly simon on you 're so vain,Mick Jagger,nq
single_nq_dev_2825,who played lead guitar for the rolling stones,Mick Taylor,nq
single_nq_dev_76,when did ipad pro 2nd generation come out,"June 5 , 2017",nq
single_nq_dev_1041,north korea is bordered by what three bodies of water,The Yellow Sea;the Korea Bay,nq
single_nq_dev_4824,why group 2 elements called alkaline earth metals,named after their oxides,nq
single_nq_dev_3119,who hosts the friday sports panel on radio 5 live,Eleanor Oldroyd,nq
single_nq_dev_2735,who do you play as in resident evil 7,Ethan Winters,nq
single_nq_dev_871,who is the president of international cricket council,Shashank Manohar,nq
single_nq_dev_2137,who wrote the game of thrones theme music,Ramin Djawadi,nq
single_nq_dev_5214,million dollar winner who wants to be a millionaire,John Carpenter,nq
single_nq_dev_3751,pontiac trans am in smokey and the bandit,1977 Pontiac Trans Am,nq
single_nq_dev_602,what did they use to build the great wall of china,bricks;wood;stones;rammed earth,nq
single_nq_dev_5434,what is a planets backward motion in the sky called,Apparent retrograde motion,nq
single_nq_dev_4325,the type of shop outlawed by the taft-hartley act was the -- -- -- -- shop,closed,nq
single_nq_dev_4511,what is the head of a jail called,warden,nq
single_nq_dev_1347,who played in the original yours mine and ours,Lucille Ball;Henry Fonda,nq
single_nq_dev_1668,who is the girl dancing in sia videos,Madison Nicole Ziegler,nq
single_nq_dev_1450,when does season 2 of the gates come out,cancelled after its first season,nq
single_nq_dev_3016,who plays erica on the last man on earth,Cleopatra Coleman,nq
single_nq_dev_4195,who is credited with discovering the effect of genetics on plant characteristics,Gregor Mendel,nq
single_nq_dev_6469,who inspired the title of a raisin in the sun,Langston Hughes,nq
single_nq_dev_1188,when did thirteen reasons why season 1 come out,"March 31 , 2017",nq
single_nq_dev_3215,who plays gandolf in the lord of the rings,Sir Ian Murray McKellen,nq
single_nq_dev_6073,who owns the sands casino in bethlehem pa,the Las Vegas Sands corporation,nq
single_nq_dev_4766,who was selected as the sports illustrated best female athlete of the twentieth century,Martina Navratilova,nq
single_nq_dev_3622,who sang you did n 't have to love me like you did,Ellie Goulding,nq
single_nq_dev_3140,india become member of un in the year,1 January 1942,nq
single_nq_dev_1425,what is the genre of holes by louis sachar,young adult mystery comedy novel,nq
single_nq_dev_3105,who warned the colonists that the british were coming,Paul Revere,nq
single_nq_dev_1936,when did dirty jobs go off the air,"September 12 , 2012",nq
single_nq_dev_1068,when was the first world happiness report released,"April 1 , 2012",nq
single_nq_dev_4660,when did australia change from the imperial to the metric system of measurement,began in 1966,nq
single_nq_dev_3955,who wrote the song yes we have no bananas,Irving Cohn;Frank Silver,nq
single_nq_dev_3018,who wrote i know a heartache when i see one,Charlie Black;Chater,nq
single_nq_dev_1555,why is there a different girl in now you see me 2,pregnancy,nq
single_nq_dev_4803,in which year was the maratha confederacy defeated by british,1818,nq
single_nq_dev_6425,where does the reed go on a clarinet,the mouthpieces,nq
single_nq_dev_4643,who wrote the hymn when peace like a river,Horatio Spafford,nq
single_nq_dev_4190,stone monuments often collective tombs from europe 's neolithic period are often referred to as,stone circle,nq
single_nq_dev_1645,who wrote the music to somewhere in time,John Barry,nq
single_nq_dev_3780,what does an abscess look like on skin,swelling;redness,nq
single_nq_dev_6183,who wrote the devil went down to georgia lyrics,The Charlie Daniels Band,nq
single_nq_dev_1906,when does the last jedi come out digitally,"March 13 , 2018",nq
single_nq_dev_5211,who did mr drummond marry on diff'rent strokes,Maggie,nq
single_nq_dev_5703,what came first the ferris wheel or the teddy bear,Ferris wheel,nq
